评论人昵称,星级,等级,时间,有用数,评语
格瓦拉,4,推荐,2015-03-28 16:33:47,1678,"
故事比较简单，槽点和硬伤也蛮多，比如爆震弹都被外军用了我军出任务没有烟雾弹被一个狙击手压得抬不起头，但是峰回路转的是吴京丫的好歹还知道物理制造烟雾；另外科幻的全息战场沙盘乱入，完全不着调啊；装备展示遗憾的是我军狙击手没上JS7.62狙。如果不看国外，这完全是国产特种作战题材的新高度
"
七夜,4,推荐,2015-03-29 23:47:35,1552,"

最近网上一致好评，真的担心水军所为。。。今天证实了下，名副其实，，，可以吹，。。配乐和节凑确实好。整部电影下来一气呵成，没有拖泥带水，中间都没有一点缓冲，过瘾。虽然很是主旋律，但不会让人产生逆反心理，最起码男性观众都会喜欢。还有就是3d效果还不错，不过我依旧讨厌3d电影。就是看能不

"
李成龙-Cooky,5,力荐,2015-04-01 13:03:04,920,"
有幸看的首映礼点映，没想到竟然这么好看，全片节奏紧凑，让人看得热血沸腾。挑战国产片审查尺度，5分！
"
于时微雪,4,推荐,2015-04-01 10:03:39,1289,"
犯我中华者，虽远必诛！！！剧里听到这句台词差点哭惹！没想到会这么燃这么热血！中国军人太帅了！！！虐的地方也刚刚好！吴京帅爆了！余男真是英气又妩媚！其他演员也帅帅帅！！真的只有感叹号能表达我的心潮澎湃！！
"
江湖骗孑,3,还行,2018-03-04 13:41:54,68,"
实事求是说，这一部的格局可能没有2的大，但是也是第一次看到比较现实的片子，犯我中华者，虽远必诛。
"
沉歌,3,还行,2015-04-02 19:30:47,45,"
虽然嘈点多多，但乌烟瘴气的大荧幕市场需要这种血性磊落的片子，同行人说终于不是无病呻吟的青春片了。犯我中华者，虽远必诛T^T
"
shininglove,3,还行,2015-04-02 23:02:04,19,"
今年第一部超出观影期待的内地片，吴京是继徐峥之后又一成功转型的自导自演，完成度在及格线之上。动作军事的类型市场稀缺，在意识形态，成本及特技受到局限的前提下，虽然难免有粗糙感和单薄感，但是能察觉到作者在寻找硬性妥协和娱乐氛围的平衡点，恶趣味也不言自明，应予以肯定。
"
Roger Federer,2,较差,2015-03-26 19:25:43,2531,"
二货的主角  尴尬的演技  凑合的场面  假装空的情怀
"
volcano,2,较差,2015-03-25 23:06:36,894,"
大意是说，中国最牛的特种部队打不过五个欧美退役兵（这样好吗），只得吴京单枪匹马奋勇杀敌。已经够俗了，结尾还忘不了让反派讲讲大道理给个机会。还有条副线中国末日即将到来，不用担心，京哥一分钟就解决啦。果然是纯爷们儿！对了，余男的角色纯粹就是京爷的意淫女性啊。一星给影院门口的大白。

"
远近,4,推荐,2015-03-28 14:28:02,207,"
看多了花样美男谈恋爱玩煽情，再看这么燃的电影觉得很畅快啊。打斗场面很过瘾，热血沸腾。纯爷们儿什么的正当年啊，推荐一下咯～
"
子为虚也,2,较差,2015-04-02 00:31:22,525,"
就这样，片子太做作
"
Darling,5,力荐,2015-03-29 22:01:08,379,"
看的我有点燃啊。“犯我中华，虽远必诛”！！！在边境线上拿刺刀对着上百境外小娄娄的场景太帅了。意外只花了19.9在万达看了场3D还是见面会不能太值，我刚好又买的第一排正中间。吴京真帅。

"
Envy Ryu,4,推荐,2015-04-02 09:14:16,173,"
非常精彩的PLA宣传大片，画面、配乐到3D效果都杠杠的！请不要吐槽军事和剧情上的bug，这是电影不是纪录片，剧情做到无尿点全程高能已经不容易，主旋律的爆米花！
"
远山,2,较差,2015-04-02 20:06:20,450,"
就我觉得指挥室那些高科技设备显得很廉价吗？

"
痴迷后脑勺,2,较差,2015-04-02 16:33:50,349,"
低俗的台词装逼的演技！抗日神剧电影版

"
Amberose,4,推荐,2015-03-26 20:36:13,171,"
吴京超帅的，铁血真汉子。外国雇佣军近身肉搏的时候有种微妙的感觉，大概是因为反派角色是一个大胡子萌熊的缘故吧。
"
我有姿势我自豪,4,推荐,2015-03-26 10:29:51,171,"
我喜欢这样不拖泥带水的。完整，一发爽。吴京导演功力有上升。打戏分量刚刚好。帅完拼热武器。冷锋先生，可以请你不要爱好在大庭广众之下谈恋爱吗。你这样子首长很难做的。完事记得好好亲亲首长好不咯。还有你连长，好好跟人么么哒啊~战狼中队！干巴列！
"
阿晨,4,推荐,2015-03-20 13:45:41,120,"
三星半的水准，另外半星是鼓励吴京的导演首秀。这部电影全景展示了我国特种部队的生活、演戏和实战经历，男性荷尔蒙气息超级强烈，让人热血沸腾，枪战和打斗时甚至有窒息感，感觉剪辑还是太多了，导致本片细节描写少得可怜，就是匆匆忙忙越境，匆匆忙忙打斗，草草收尾，意犹未尽。
"
影志,2,较差,2015-06-11 01:14:11,191,"
还不如《冲出亚马逊》
"
桃桃林林,1,很差,2015-04-02 15:57:37,3804,"
好羞耻，看得我一阵阵脸红
"
沁冬,4,推荐,2015-03-29 21:12:20,109,"
吴京自导自演首部作品大大超过预期，各种新型装备还有独特的个人魅力都算国产片里的诚意之作。
"
i MISS,2,较差,2015-04-03 16:52:02,198,"
这部电影真的好失望，尤其是看了豆瓣的评分之后看的，不知道是谁把这部电视刷到7.2分的，整体上就是一部特种兵的浓缩版，全程都是糟点，等着人吐槽，吴京做做的匹，学学国外的信息化作战，还不如直接文艺，国外雇佣兵的傻，光说了优秀，却没见怎么着就死了，也未看出中国军有多厉害来。
"
长风大侠,1,很差,2015-03-30 06:28:10,814,"
用全套美军制式装备（主要是指士兵身上穿的）扮演我国街坊军打败了外国侵略者，刘猛子开创了中国现代战争片的先河，吴京显然在刘胖子的电视剧里面没过足瘾，根本停不下来
"
面包,1,很差,2015-04-03 00:39:56,821,"
一个没有想象力的导演把自己幻想出来的东西拍成了一部电影，而且还不是性幻想
"
人间乐园,2,较差,2015-04-02 16:23:16,188,"
国产连续剧的剧场版水准。
"
王大根,2,较差,2017-08-02 21:19:56,143,"
感觉有两万八千个直男踩着我的眼睛过去了
"
vgattuso,1,很差,2015-03-18 12:50:37,723,"
突突突，突突突，完。
"
派大星,2,较差,2015-04-02 23:15:02,191,"
真的别逼我不支持国产好吗
"
安猫,2,较差,2015-04-03 03:00:54,146,"
我也是看到那句“犯我中华者，虽远必诛”的时候笑了。缅甸边防仍炸弹你怎么不去诛？！越南杀边境屡次侵犯你怎么不去诛？印度，南沙什么的我就更不想多说了。电影里到是撇B脸耍起威风来了，吴京，你政治合格了的，但听影迷们一句劝，药真不能停。还有，下次建议你不要在打国防军事类题材的注意了，有劳
"
凡塔斯蒂克,1,很差,2015-04-03 16:50:51,518,"
如果从来不看好莱坞大片的人 大概就不会觉得这个电影。。。。。实在是无形中自我狂妄自大自恋  太可怕了
"
兔七,5,力荐,2015-03-29 18:30:50,299,"
冲着吴京这7年就得5星啊 有幸抢到了点映的票 第一排…头晕眼晕…但是真的太刺激了 剧情紧凑 3d场面惊心动魄 配乐也很到位 导的非常棒 第一次看一部电影紧张到浑身麻痹  不虚此行

"
PaulAust,1,很差,2015-04-03 12:25:42,487,"
平心而论挺差的，从剧情到特效到动作戏到煽情桥段，还有生硬的爱国主义教育。什么虽远必诛什么的，真讽刺。
"
kitouchug,2,较差,2015-04-03 09:50:24,142,"
高级黑，专业黑中国的

"
余小岛,2,较差,2015-04-07 20:39:26,139,"
槽点简直太多了。敢问片名为什么叫战狼，为什么不直接叫吴京。。。
"
安小安,4,推荐,2015-03-29 16:32:32,105,"
超出预期的燃！
"
-sirk,1,很差,2015-04-04 18:43:37,421,"
被朋友硬拉去看的，看完他俩还说挺爽，我在考虑要不要绝交. ..

"
荔枝,1,很差,2015-04-03 15:21:33,215,"
够烂 槽点满满的 满到都要溢出来了[再见] 中间有一段我都是在跟旁边的SB聊天的 老套得来没新意 BGM烂透了 哎 吴京还是好好的拍别人给的戏吧 甭想当好导演了
"
张小北,2,较差,2015-04-22 10:41:10,125,"
此片应该能开创一个新的国产类型：PLA打怪！通过不断的打怪升级，最后航母核潜艇什么的都应该能出镜了，最后大战外星人一定是可以的！作为「军事题材」电影，实在是槽点满满啊……希望以后有钱了可以愉快地炸一些国产山寨悍马，不要再用便宜的勇士吉普来冒充悍马了。
"
Emotionormal,2,较差,2015-04-02 22:49:48,136,"
幸亏只有90分钟。

"
南山影话,2,较差,2015-04-02 15:26:45,122,"
一部主旋律作品，简单直接，用热血眩晕观众，有一些亮眼的细节，但更适合在电影频道放。音响、特效太假，经不起大荧幕放大。人物脸谱化，余男的表演也是够了！吴京无论是做导演还是主演，都差了点意思。个人英雄主义在此类国产片中，行不通！
"
勇敢,5,力荐,2015-04-02 22:05:54,182,"
这片子啥时候手撕老外了，某些人还真会信口雌黄，片子很不错！还有某大娘既然好羞耻，那就去扣一下如何？
"
ZWW,4,推荐,2017-07-29 12:15:11,47,"
第二次看，还是觉得激动不已
"
芥末蘸酱,2,较差,2015-03-31 23:13:27,113,"
吴京太愣了点。
"
西酱,2,较差,2015-04-03 09:55:18,113,"
生拉硬套的幽默点和感情戏，白开水一样无聊的剧情，莫名其妙的五毛钱特效，BUG还多到不忍直视。。。本来只想给一分，还有一分给幸好没有手撕鬼子的欣慰。
"
生活是种态度,2,较差,2015-04-04 00:52:37,89,"
真是浪费我钱
"
恶魔奶爸Sam,2,较差,2015-07-17 20:12:37,79,"
中国最牛逼的特种部队，特种部队中的特种部队，冲树林里不知道找掩体，对方一打一片，陷阱每发必中，地雷一踩就有，连基本的战术布置都没有，指挥官像二愣子一样往前拼命，对地方玩转，敌我战损比差不多超过1：6，突然感觉PLA药丸
"
onlyhh,1,很差,2015-04-04 03:16:28,185,"
长评那些打4星5星的，不嫌丢人啊？！
"
mason,1,很差,2015-04-02 20:59:31,167,"
多一星也没有了
"
Reba,2,较差,2015-04-02 16:14:24,74,"
吴京的个人英雄主义达到了巅峰啊，连我最喜欢的鱼腩都拯救不了
"
万俤,1,很差,2015-04-02 22:45:04,164,"
瞎鸡巴扯，国产片观影都不保险，大失所望。
"
阿糊糊,1,很差,2015-04-02 23:53:47,122,"
……
"
費利,2,较差,2015-04-01 16:53:53,73,"
爷们儿…呵呵…
"
有心打扰,2,较差,2015-04-11 20:01:29,65,"
如果一部军事片拍得让人感觉是在拍喜剧科幻片，那还真是够失败的，心里总想着让复仇者联盟来把吴京招安了，绝对的一大战力。但求不要拍《战狼2》。
"
╬浪魂之剑,5,力荐,2015-03-11 18:09:22,97,"
吴京 动作 战争 中国电影 军事 国产 励志 经典 犯罪 大陆
"
LA24'ZYFEI,1,很差,2015-04-03 15:52:37,111,"
子弹为毛不做特效！装逼犯！
"
Brett,2,较差,2015-04-07 20:57:52,67,"
水军太多。。
"
次奥一定要昵称,1,很差,2015-04-09 21:13:10,117,"
“~~~者，~~~必诛”，说得出，做不到。最讨厌拿爱国话题来投机取巧。你做电影连技术都比不上人家，就不要猪鼻子插大葱装象了好吗。
"
三更,4,推荐,2018-02-12 23:09:04,51,"
可能这部电影的框架布局有些欠缺火候，太过于侧重个人英雄主义，有些地方存在着一些不足，但是比一些什么流量制作，过于商业化，赚快钱而做工粗糙的电影强的不只一星半点，有问题请指出来，不要过于跟风，无脑黑  (ーー゛)
"
授授不轻,1,很差,2015-04-03 23:31:30,107,"
你们真是别有用心
"
Lynchman,2,较差,2015-04-12 22:45:30,59,"
#2015大影节#终于明白桃姐评价中羞耻的意思，诡异得难以言说。解放军演习基地被外国势力无声侵入、全程国境线内自卫的雷人设定究竟是如何撑起“虽远必诛”口号的实在不得而知，只见现场女性观众高潮迭起，大概掌握了女人的口味也就占据了票房的高地。
"
詹姆斯庞德,1,很差,2015-04-02 21:56:01,103,"
呵呵，这电影就想小孩子的幻想，不知道怎么表达。
"
吞佛,1,很差,2015-04-09 20:55:33,99,"
在豆瓣混时间长了，一眼就能看出哪些是水军的帖子，哪些是真实的影评。
"
查无此人,1,很差,2015-04-09 13:39:37,99,"
烦请水军不要乱刷分，这种电视剧也能高分，各种造作，各种廉价，各种low，各种智商下限，各种傻逼反派，这3D除了子弹也就是叶子了。
"
明安,2,较差,2015-04-06 14:24:51,49,"
啧啧啧
"
剥了皮的发条橙,1,很差,2015-04-07 20:46:09,89,"
爱国情操片就不要在电影院上映了。

"
落花都,1,很差,2015-04-03 14:25:21,83,"
无语死了
"
可呀可呀可,2,较差,2015-04-07 11:56:39,61,"
为了豆瓣评分7.4分，看了这种原本我这辈子都不会看的电影，感觉就是把“手撕日本人”与“新闻联播”结合了。个人崇拜色彩太浓，剧情很low。一星给余男，一星给中华人民共和国。
"
Gospel,2,较差,2015-04-02 20:57:41,48,"
单说电影的话，吴京做导演还是不太适合，男人打架就是干，别扯皮，别笑。同时还有很多硬伤，丛林实弹行动不带烟雾弹，被对面一个狙击手拦住一个排也是醉了。不过引起了我一点思考，当兵是一种怎样的体验。
"
谢谢你们的鱼,1,很差,2015-04-02 21:36:06,67,"
光顾着生猛，就没管别的了
"
悲哀的亡灵,2,较差,2015-04-05 22:25:31,45,"
国产征兵广告，建议列为国防部十大爱国教育宣传片

"
十一没失忆,5,力荐,2015-03-31 23:36:34,97,"
我看过最好看的国产军旅战争电影

"
杜边生,4,推荐,2015-03-28 16:38:37,64,"
吴京的硬气，余男的性感，大战局下的情感，大时代的抉择，四星推荐。
"
巴伐利亞酒神,2,较差,2016-11-30 00:55:35,34,"
不是友邻打分低，而是片子太傻逼。
"
kazuma,1,很差,2015-04-09 17:40:12,62,"
呵呵呵
"
范克里夫大尉,1,很差,2015-04-25 20:28:01,63,"
屎
"
肖恩不是僵尸,1,很差,2015-04-07 09:13:56,66,"
没别的意思 水军太多 我来拉分
"
刘小青,5,力荐,2015-04-02 11:24:56,83,"
产后复出的第一个项目，五个多月，每天就是上班战狼下班孩子，跟我二儿子似的，愿一切都有个令人满意的结果。谢谢好朋友们的支持！
"
小麦,1,很差,2015-04-07 00:20:18,64,"
全程槽点笑点……
"
shun,1,很差,2015-04-05 17:23:07,58,"
48小时直线剧情的国产军事电影，引入许多逗人笑话的背常理的高能人物及老掉牙的打完仗回家结婚的煞笔剧透天啦噜
"
小白宁宁宁,4,推荐,2015-04-01 10:50:13,624,"
没有特别义正言辞的说教，你欺负老子了老子就要干死你，痛快！
"
Roaid,1,很差,2015-04-10 14:07:06,57,"
不爱国就是汉奸，那本汉奸就打个一星吧。
"
123木头人,4,推荐,2018-03-04 12:27:30,30,"
还不错，需要英雄和英雄情怀少有感兴趣的军事题材
"
悠~墨~,1,很差,2015-04-16 17:55:30,63,"
这种片不给一星对不起良心~
"
非__想,2,较差,2015-04-21 18:46:16,33,"
中国解放军手把手教你：如何用手枪干掉狙，如何踩雷不死，如何调戏女上司。两个集团军打十几个雇佣兵还总是自杀精神洋溢，现代化战争被中国功夫代替。“犯我中华者，虽远必诛”不太喜欢这句话，爱国主义高潮来得就是简单粗暴。两星，一星给挺努力的吴京，一星给余男的嘴。
"
Idler,1,很差,2015-04-07 19:47:49,60,"
今天下午花了25看的3D，除了3D和外军在打外国警察火爆以外，没任何看头，也没什么让人思考的，看过就忘的电影，烂
"
Gassy,1,很差,2015-04-07 17:38:11,56,"
什么？
"
爱追剧的小可爱,4,推荐,2018-03-10 02:11:04,22,"
除了炸就是燃，看了还想看的电影，向中国军人致敬！
"
柏林苍穹下,1,很差,2015-04-21 19:18:07,27,"
强我中华。
"
妖灵妖,2,较差,2015-05-27 22:02:41,33,"
爱国主义教育儿童片
"
小刺儿,2,较差,2015-04-06 23:45:25,45,"
这分不是开玩笑的吗？真是替中国的特效捉急！看的我脸一阵红一阵白的！还有拜托没有啥必要就别3D了呗。

"
丑小鸭cxy,5,力荐,2018-01-14 14:17:52,35,"
战狼系列真心不错，热血军魂有木有
"
yuki,1,很差,2015-04-06 20:25:32,51,"
自己看着都会羞耻的观影经历，不愿意向别人承认到电影院看过的一部电影。但我相信票房和评分都不会太差，毕竟“犯我中华者虽远必诛”的星辰大海婊是如此之多。
"
圣迭戈-北岛,2,较差,2015-04-11 17:14:32,32,"
一颗星给爆破场面，一颗星给实机拍摄的大型装备，中国和西方的战争影视作品已经丧失比较的意义。
"
WhoCares,5,力荐,2015-04-03 14:33:34,50,"
扬我国威 多去外国巡播啊 支持此类电影

"
潇湘烟雨,4,推荐,2018-03-04 23:02:08,19,"
我觉得比2好看
"
春三十,2,较差,2015-04-05 21:24:45,46,"
第一次在电影院差点吐了。装逼+煽情+老套大胸单身女上司+以法令纹为尊贵标志的中国权势顶端中年男，真乃催吐利器。一星给吴京一星给打戏，以后再也不陪人看这种装逼犯了。
"
七夜,4,推荐,2015-03-29 23:47:35,1552,"

最近网上一致好评，真的担心水军所为。。。今天证实了下，名副其实，，，可以吹，。。配乐和节凑确实好。整部电影下来一气呵成，没有拖泥带水，中间都没有一点缓冲，过瘾。虽然很是主旋律，但不会让人产生逆反心理，最起码男性观众都会喜欢。还有就是3d效果还不错，不过我依旧讨厌3d电影。就是看能不

"
李成龙-Cooky,5,力荐,2015-04-01 13:03:04,920,"
有幸看的首映礼点映，没想到竟然这么好看，全片节奏紧凑，让人看得热血沸腾。挑战国产片审查尺度，5分！
"
于时微雪,4,推荐,2015-04-01 10:03:39,1289,"
犯我中华者，虽远必诛！！！剧里听到这句台词差点哭惹！没想到会这么燃这么热血！中国军人太帅了！！！虐的地方也刚刚好！吴京帅爆了！余男真是英气又妩媚！其他演员也帅帅帅！！真的只有感叹号能表达我的心潮澎湃！！
"
江湖骗孑,3,还行,2018-03-04 13:41:54,68,"
实事求是说，这一部的格局可能没有2的大，但是也是第一次看到比较现实的片子，犯我中华者，虽远必诛。
"
沉歌,3,还行,2015-04-02 19:30:47,45,"
虽然嘈点多多，但乌烟瘴气的大荧幕市场需要这种血性磊落的片子，同行人说终于不是无病呻吟的青春片了。犯我中华者，虽远必诛T^T
"
shininglove,3,还行,2015-04-02 23:02:04,19,"
今年第一部超出观影期待的内地片，吴京是继徐峥之后又一成功转型的自导自演，完成度在及格线之上。动作军事的类型市场稀缺，在意识形态，成本及特技受到局限的前提下，虽然难免有粗糙感和单薄感，但是能察觉到作者在寻找硬性妥协和娱乐氛围的平衡点，恶趣味也不言自明，应予以肯定。
"
Roger Federer,2,较差,2015-03-26 19:25:43,2531,"
二货的主角  尴尬的演技  凑合的场面  假装空的情怀
"
volcano,2,较差,2015-03-25 23:06:36,894,"
大意是说，中国最牛的特种部队打不过五个欧美退役兵（这样好吗），只得吴京单枪匹马奋勇杀敌。已经够俗了，结尾还忘不了让反派讲讲大道理给个机会。还有条副线中国末日即将到来，不用担心，京哥一分钟就解决啦。果然是纯爷们儿！对了，余男的角色纯粹就是京爷的意淫女性啊。一星给影院门口的大白。

"
远近,4,推荐,2015-03-28 14:28:02,207,"
看多了花样美男谈恋爱玩煽情，再看这么燃的电影觉得很畅快啊。打斗场面很过瘾，热血沸腾。纯爷们儿什么的正当年啊，推荐一下咯～
"
子为虚也,2,较差,2015-04-02 00:31:22,525,"
就这样，片子太做作
"
Darling,5,力荐,2015-03-29 22:01:08,379,"
看的我有点燃啊。“犯我中华，虽远必诛”！！！在边境线上拿刺刀对着上百境外小娄娄的场景太帅了。意外只花了19.9在万达看了场3D还是见面会不能太值，我刚好又买的第一排正中间。吴京真帅。

"
Envy Ryu,4,推荐,2015-04-02 09:14:16,173,"
非常精彩的PLA宣传大片，画面、配乐到3D效果都杠杠的！请不要吐槽军事和剧情上的bug，这是电影不是纪录片，剧情做到无尿点全程高能已经不容易，主旋律的爆米花！
"
远山,2,较差,2015-04-02 20:06:20,450,"
就我觉得指挥室那些高科技设备显得很廉价吗？

"
痴迷后脑勺,2,较差,2015-04-02 16:33:50,349,"
低俗的台词装逼的演技！抗日神剧电影版

"
Amberose,4,推荐,2015-03-26 20:36:13,171,"
吴京超帅的，铁血真汉子。外国雇佣军近身肉搏的时候有种微妙的感觉，大概是因为反派角色是一个大胡子萌熊的缘故吧。
"
我有姿势我自豪,4,推荐,2015-03-26 10:29:51,171,"
我喜欢这样不拖泥带水的。完整，一发爽。吴京导演功力有上升。打戏分量刚刚好。帅完拼热武器。冷锋先生，可以请你不要爱好在大庭广众之下谈恋爱吗。你这样子首长很难做的。完事记得好好亲亲首长好不咯。还有你连长，好好跟人么么哒啊~战狼中队！干巴列！
"
阿晨,4,推荐,2015-03-20 13:45:41,120,"
三星半的水准，另外半星是鼓励吴京的导演首秀。这部电影全景展示了我国特种部队的生活、演戏和实战经历，男性荷尔蒙气息超级强烈，让人热血沸腾，枪战和打斗时甚至有窒息感，感觉剪辑还是太多了，导致本片细节描写少得可怜，就是匆匆忙忙越境，匆匆忙忙打斗，草草收尾，意犹未尽。
"
影志,2,较差,2015-06-11 01:14:11,191,"
还不如《冲出亚马逊》
"
桃桃林林,1,很差,2015-04-02 15:57:37,3804,"
好羞耻，看得我一阵阵脸红
"
沁冬,4,推荐,2015-03-29 21:12:20,109,"
吴京自导自演首部作品大大超过预期，各种新型装备还有独特的个人魅力都算国产片里的诚意之作。
"
i MISS,2,较差,2015-04-03 16:52:02,198,"
这部电影真的好失望，尤其是看了豆瓣的评分之后看的，不知道是谁把这部电视刷到7.2分的，整体上就是一部特种兵的浓缩版，全程都是糟点，等着人吐槽，吴京做做的匹，学学国外的信息化作战，还不如直接文艺，国外雇佣兵的傻，光说了优秀，却没见怎么着就死了，也未看出中国军有多厉害来。
"
长风大侠,1,很差,2015-03-30 06:28:10,814,"
用全套美军制式装备（主要是指士兵身上穿的）扮演我国街坊军打败了外国侵略者，刘猛子开创了中国现代战争片的先河，吴京显然在刘胖子的电视剧里面没过足瘾，根本停不下来
"
面包,1,很差,2015-04-03 00:39:56,821,"
一个没有想象力的导演把自己幻想出来的东西拍成了一部电影，而且还不是性幻想
"
人间乐园,2,较差,2015-04-02 16:23:16,188,"
国产连续剧的剧场版水准。
"
王大根,2,较差,2017-08-02 21:19:56,143,"
感觉有两万八千个直男踩着我的眼睛过去了
"
vgattuso,1,很差,2015-03-18 12:50:37,723,"
突突突，突突突，完。
"
派大星,2,较差,2015-04-02 23:15:02,191,"
真的别逼我不支持国产好吗
"
安猫,2,较差,2015-04-03 03:00:54,146,"
我也是看到那句“犯我中华者，虽远必诛”的时候笑了。缅甸边防仍炸弹你怎么不去诛？！越南杀边境屡次侵犯你怎么不去诛？印度，南沙什么的我就更不想多说了。电影里到是撇B脸耍起威风来了，吴京，你政治合格了的，但听影迷们一句劝，药真不能停。还有，下次建议你不要在打国防军事类题材的注意了，有劳
"
凡塔斯蒂克,1,很差,2015-04-03 16:50:51,518,"
如果从来不看好莱坞大片的人 大概就不会觉得这个电影。。。。。实在是无形中自我狂妄自大自恋  太可怕了
"
兔七,5,力荐,2015-03-29 18:30:50,299,"
冲着吴京这7年就得5星啊 有幸抢到了点映的票 第一排…头晕眼晕…但是真的太刺激了 剧情紧凑 3d场面惊心动魄 配乐也很到位 导的非常棒 第一次看一部电影紧张到浑身麻痹  不虚此行

"
PaulAust,1,很差,2015-04-03 12:25:42,487,"
平心而论挺差的，从剧情到特效到动作戏到煽情桥段，还有生硬的爱国主义教育。什么虽远必诛什么的，真讽刺。
"
kitouchug,2,较差,2015-04-03 09:50:24,142,"
高级黑，专业黑中国的

"
余小岛,2,较差,2015-04-07 20:39:26,139,"
槽点简直太多了。敢问片名为什么叫战狼，为什么不直接叫吴京。。。
"
安小安,4,推荐,2015-03-29 16:32:32,105,"
超出预期的燃！
"
-sirk,1,很差,2015-04-04 18:43:37,421,"
被朋友硬拉去看的，看完他俩还说挺爽，我在考虑要不要绝交. ..

"
荔枝,1,很差,2015-04-03 15:21:33,215,"
够烂 槽点满满的 满到都要溢出来了[再见] 中间有一段我都是在跟旁边的SB聊天的 老套得来没新意 BGM烂透了 哎 吴京还是好好的拍别人给的戏吧 甭想当好导演了
"
张小北,2,较差,2015-04-22 10:41:10,125,"
此片应该能开创一个新的国产类型：PLA打怪！通过不断的打怪升级，最后航母核潜艇什么的都应该能出镜了，最后大战外星人一定是可以的！作为「军事题材」电影，实在是槽点满满啊……希望以后有钱了可以愉快地炸一些国产山寨悍马，不要再用便宜的勇士吉普来冒充悍马了。
"
